Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
85,NET-45,440.125,,0,,88.5,88.5,23,NN,FM,25,S,RMS Gate K7KCA-10,,,
90,BLAINE,442.4,+,5,Tone,107.2,107.2,23,NN,FM,25,,Lyman Hill,W7UMH,,
91,BLYN41,442.8,+,5,Tone,123,123,23,NN,FM,25,,Sequim,N7NFY,,
92,SQAL41,443.75,+,5,Tone,103.5,103.5,23,NN,FM,25,,Squalicum Mt.,WA7ZWG,,
93,CONY41,444.05,+,5,Tone,103.5,103.5,23,NN,FM,25,,Mt. Constitution,K7SKW,,
94,TIGR42,444.3,+,5,Tone,103.5,103.5,23,NN,FM,25,,Tiger Mt.,WA7WKT,,
95,LYMN41,444.5,+,5,Tone,103.5,103.5,23,NN,FM,25,,Lyman Hill,WA7ZUS,,
96,PT-ANG,444.775,+,5,Tone,103.5,103.5,23,NN,FM,25,,Port Angeles,KJ7XE,,
97,LOOK42,442.25,+,5,Tone,156.7,156.7,23,NN,FM,25,,Hospital link to LOOK-21,NC7Q,,
98,LOPZ41,443.475,+,5,Tone,77,77,23,NN,FM,25,,Lopez,KD7KAB,,
99,SURV41,444.925,+,5,Tone,100,100,23,NN,FM,25,,Survey Mt. (Can. ARES),VE7RWS,,
100,BLYN41,442.1,+,5,Tone,100,100,23,NN,FM,25,,Blyn Mt. near Sequim,KC7EQO,,
102,PT-ROB,443.3,+,5,Tone,100,100,23,NN,FM,25,,Pt. Roberts,KJ1U,,
103,ITS-41,442.6,+,5,Tone,97.4,97.4,23,NN,FM,25,,"Van. I. Trunk Sys, BC",VE7RNA,,
104,CULT41,444.625,+,5,Tone,103.5,103.5,23,NN,FM,25,,"Cultus Mt. east of Mt Vernon",NC7Q,,
105,SICK41,444.925,+,5,Tone,127.3,127.3,23,NN,FM,25,,"Mt. Sicker, Duncan BC",,,
110,CFIRE,155.1,off,0,,88.5,88.5,23,NN,FM,5,,,,,
111,SJAID,155.28,off,0,,88.5,88.5,23,NN,FM,5,,,,,
112,SJTAC3,154.16,,0,,88.5,88.5,23,NN,FM,5,,,,,
113,SJTAC4,154.385,,0,,88.5,88.5,23,NN,FM,5,,,,,
114,OSCAR,156.385,off,0,,88.5,88.5,23,NN,FM,5,,,,,
115,DNR,151.415,off,0,,88.5,88.5,23,NN,FM,5,,,,,
116,ORFIRE,154.205,off,0,,88.5,88.5,23,NN,FM,5,,,,,
117,REDNET,153.83,off,0,,88.5,88.5,23,NN,FM,5,,,,,
118,AIRNW,155.295,off,0,,88.5,88.5,23,NN,FM,5,,,,,
119,AIRNW3,463.05,off,0,,88.5,88.5,23,NN,FM,5,,,,,
120,SJCOPS,453.25,off,0,,88.5,88.5,23,NN,FM,5,,,,,
121,MAR16,156.8,,0,,88.5,88.5,23,NN,FM,5,,"Inter. Distress, Safety & Calling",,,
123,WX03,162.475,off,0,,88.5,88.5,23,NN,FM,5,S,,,,
124,WX04,162.425,off,0,,88.5,88.5,23,NN,FM,5,S,,,,
127,FERRY,151.04,off,0,,88.5,88.5,23,NN,FM,5,,,,,
