Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,CADY11,146.7,-,0.6,TSQL,131.8,131.8,23,NN,FM,5,,SJCARS Repeater Cady Mt.,N7JN,,
2,REV-11,146.1,+,0.6,Tone,131.8,131.8,23,NN,FM,5,,SJCARS Reverse,,,
3,DIR-11,146.7,,0,TSQL,131.8,131.8,23,NN,FM,5,,SJCARS Direct (simplex),,,
4,CALL11,146.7,,0,TSQL,141.3,141.3,23,NN,FM,5,,SJCARS Callup,N7JN,,
5,RPT-12,145.25,-,0.6,,88.5,88.5,23,NN,FM,5,,SJCARS D-Star Repeater (HVT),N7JN-C,,
6,REV-12,144.65,+,0.6,,88.5,88.5,23,NN,FM,5,,SJCARS D-Star Reverse,,,
7,DIR-12,145.25,,,,88.5,88.5,23,NN,FM,5,,SJCARS D-Star simplex,,,
10,TAC-10,146.52,,0.6,Tone,131.8,131.8,23,NN,FM,5,,National Simplex,,,
11,TAC-11,144.31,,0.6,Tone,131.8,131.8,23,NN,FM,5,,,,,
12,,,,,,,,,,,,,,,,
13,TAC-13,146.54,,0.6,Tone,131.8,131.8,23,NN,FM,5,,"Watcom, King, Island, Blaine",,,
14,TAC-14,145.53,,0.6,Tone,131.8,131.8,23,NN,FM,5,,,,,
15,TAC-15,146.42,,0.6,Tone,131.8,131.8,23,NN,FM,5,,NBFM repeater ch-2 output,,,
16,,,,,,,,,,,,,,,,
17,TAC-17,147.4,,0.6,Tone,131.8,131.8,23,NN,FM,5,,NBFM repeater ch-1 input,,,
18,,,,,,,,,,,,,,,,
19,TAC-19,146.48,,0.6,Tone,103.5,103.5,23,NN,FM,5,,Statewide Alternate***,,,
26,APRS10,144.39,,0,,88.5,88.5,23,NN,FM,5,S,1200 baud APRS,,,
27,APRS11,144.35,,0,,88.5,88.5,23,NN,FM,5,S,9600 baud APRS,,,
